imagename,label
LT04_L1GS_004061_19891023_20170201_01_T2_MTL,1
LT04_L1TP_008054_19930624_20170118_01_T1_MTL,1
LT04_L1TP_187029_19920729_20170122_01_T1_MTL,1
LT04_L1GS_010053_19881014_20170206_01_T2_MTL,0
LT04_L1TP_182014_19880901_20170206_01_T1_MTL,1
LT04_L1TP_180072_19881208_20170205_01_T1_MTL,0
LT04_L1TP_186023_19880727_20170208_01_T1_MTL,0
LT04_L1GS_180024_19920626_20170122_01_T2_MTL,0
LT04_L1GS_186060_19871216_20170210_01_T2_MTL,0
LT04_L1TP_183021_19920615_20170122_01_T1_MTL,0
LT04_L1TP_190044_19880129_20170209_01_T1_MTL,1
LT04_L1GS_182024_19900603_20170129_01_T2_MTL,1
LT04_L1TP_186060_19901122_20170128_01_T1_MTL,0
LT04_L1TP_190047_19880129_20170209_01_T1_MTL,0
LT04_L1GS_008045_19881117_20170205_01_T2_MTL,0
LT04_L1GS_002052_19901215_20170127_01_T2_MTL,1
LT04_L1TP_186022_19890628_20170202_01_T1_MTL,1
LT04_L1GS_005022_19830115_20170220_01_T2_MTL,1
LT04_L1TP_184015_19880830_20170206_01_T1_MTL,1
LT04_L1TP_188032_19881029_20170206_01_T1_MTL,0
LT04_L1TP_193042_19880203_20170209_01_T1_MTL,0
LT04_L1GS_184035_19880424_20170209_01_T2_MTL,0
LT04_L1TP_006060_19871117_20170210_01_T1_MTL,0
LT04_L1GS_006059_19880628_20170208_01_T2_MTL,0
LT04_L1TP_186028_19880727_20170208_01_T1_MTL,1
LT04_L1TP_181029_19880708_20170208_01_T1_MTL,1
LT04_L1TP_181034_19871213_20170210_01_T1_MTL,1
LT04_L1GS_007064_19880111_20170210_01_T2_MTL,1
LT04_L1GS_189036_19871221_20170210_01_T2_MTL,0
LT04_L1GS_009063_19880601_20170208_01_T2_MTL,1
LT04_L1TP_186047_19880202_20170209_01_T1_MTL,1
LT04_L1TP_180028_19880919_20170206_01_T1_MTL,1
LT04_L1TP_186048_19880202_20170209_01_T2_MTL,0
LT04_L1GS_181027_19890508_20170203_01_T2_MTL,1
LT04_L1TP_008046_19880914_20170206_01_T1_MTL,1
LT04_L1GS_180024_19880919_20170206_01_T2_MTL,0
LT04_L1GS_184060_19880307_20170209_01_T2_MTL,1
LT04_L1GS_186061_19890220_20170204_01_T2_MTL,0
LT04_L1TP_007066_19890825_20170202_01_T1_MTL,1
LT04_L1GS_192015_19890606_20170203_01_T2_MTL,1
